Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result,ScalableStringProcessingMatcher_confidence,description,SimilarTypeFilter_confidence,CosineSimilarityConfidenceMatcher_confidence,SimilarNeighboursFilter_confidence,CommonPropertiesFilter_confidence
knowledgegraph,nell-dbpedia,AMD,"[""bird""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bird,=,0.0,http://dbpedia.org/ontology/Bird,"[""Bird""]",[],"[""owl:Class"",""rdfs:Class""]",false,false negative,,,,,,
knowledgegraph,nell-dbpedia,AMD,"[""comedian""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:comedian,=,0.0,http://dbpedia.org/ontology/Comedian,"[""Comedian""]",[],"[""owl:Class"",""rdfs:Class""]",false,false negative,,,,,,
knowledgegraph,nell-dbpedia,AMD,"[""highway""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:highway,=,0.0,http://dbpedia.org/ontology/Road,"[""Road""]",[],"[""owl:Class"",""rdfs:Class""]",true,false negative,,,,,,
knowledgegraph,nell-dbpedia,AMD,"[""convention""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:convention,=,0.0,http://dbpedia.org/ontology/Convention,"[""Convention""]",[],"[""owl:Class"",""rdfs:Class""]",false,false negative,,,,,,
knowledgegraph,nell-dbpedia,AMD,"[""drug""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:drug,=,0.0,http://dbpedia.org/ontology/Drug,"[""Drug""]",[],"[""owl:Class"",""rdfs:Class""]",false,false negative,,,,,,
knowledgegraph,nell-dbpedia,AMD,"[""nonprofitorganization""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:nonprofitorganization,=,0.0,http://dbpedia.org/ontology/Non-ProfitOrganisation,"[""Non-ProfitOrganisation""]",[],"[""owl:Class"",""rdfs:Class""]",true,false negative,,,,,,
knowledgegraph,nell-dbpedia,AMD,"[""chef""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:chef,=,0.0,http://dbpedia.org/ontology/Chef,"[""Chef""]",[],"[""owl:Class"",""rdfs:Class""]",false,false negative,,,,,,
knowledgegraph,nell-dbpedia,AMD,"[""hospital""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:hospital,=,0.0,http://dbpedia.org/ontology/Hospital,"[""Hospital""]",[],"[""owl:Class"",""rdfs:Class""]",false,false negative,,,,,,
knowledgegraph,nell-dbpedia,AMD,"[""wine""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:wine,=,0.0,http://dbpedia.org/ontology/Wine,"[""Wine""]",[],"[""owl:Class"",""rdfs:Class""]",false,false negative,,,,,,
knowledgegraph,nell-dbpedia,AMD,"[""website""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:website,=,0.0,http://dbpedia.org/ontology/Website,"[""Website""]",[],"[""owl:Class"",""rdfs:Class""]",false,false negative,,,,,,
