Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result,addedInStep
knowledgegraph,nell-dbpedia,Baseline,"[""skiarea""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:skiarea,=,0.0,http://dbpedia.org/ontology/SkiArea,"[""SkiArea""]",[],"[""owl:Class"",""rdfs:Class""]",true,false negative,
knowledgegraph,nell-dbpedia,Baseline,"[""plant""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:plant,=,1.0,http://dbpedia.org/ontology/Plant,"[""Plant""]",[],"[""owl:Class"",""rdfs:Class""]",false,true positive,simple match
knowledgegraph,nell-dbpedia,Baseline,"[""vehicle""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:vehicle,=,0.0,http://dbpedia.org/ontology/Automobile,"[""Automobile""]",[],"[""owl:Class"",""rdfs:Class""]",true,false negative,
knowledgegraph,nell-dbpedia,Baseline,"[""street""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:street,=,1.0,http://dbpedia.org/ontology/Street,"[""Street""]",[],"[""owl:Class"",""rdfs:Class""]",false,true positive,simple match
knowledgegraph,nell-dbpedia,Baseline,"[""astronaut""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:astronaut,=,1.0,http://dbpedia.org/ontology/Astronaut,"[""Astronaut""]",[],"[""owl:Class"",""rdfs:Class""]",false,true positive,simple match
knowledgegraph,nell-dbpedia,Baseline,"[""musicsong""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:musicsong,=,0.0,http://dbpedia.org/ontology/Song,"[""Song""]",[],"[""owl:Class"",""rdfs:Class""]",true,false negative,
knowledgegraph,nell-dbpedia,Baseline,"[""color""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:color,=,0.0,http://dbpedia.org/ontology/Colour,"[""Colour""]",[],"[""owl:Class"",""rdfs:Class""]",true,false negative,
knowledgegraph,nell-dbpedia,Baseline,"[""continent""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:continent,=,1.0,http://dbpedia.org/ontology/Continent,"[""Continent""]",[],"[""owl:Class"",""rdfs:Class""]",false,true positive,simple match
knowledgegraph,nell-dbpedia,Baseline,"[""tradeunion""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:tradeunion,=,0.0,http://dbpedia.org/ontology/TradeUnion,"[""TradeUnion""]",[],"[""owl:Class"",""rdfs:Class""]",true,false negative,
knowledgegraph,nell-dbpedia,Baseline,"[""airport""]",[],"[""owl:Class"",""rdfs:Class""]",http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:airport,=,1.0,http://dbpedia.org/ontology/Airport,"[""Airport""]",[],"[""owl:Class"",""rdfs:Class""]",false,true positive,simple match
