Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
knowledgegraph,nell-dbpedia,alod2vecmatcher,ALL,1.0,0.7984496124031008,0.49019607843137253,0.8879310344827586,103,0,26,77903,253559441005,00:04:13
knowledgegraph,nell-dbpedia,alod2vecmatcher,CLASSES,1.0,0.7984496124031008,0.49019607843137253,0.8879310344827586,103,0,26,103,-,-
knowledgegraph,nell-dbpedia,alod2vecmatcher,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,alod2vecmatcher,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,77800,-,-
knowledgegraph,nell-dbpedia,AML,ALL,0.0,0.0,0.0,0.0,0,0,129,0,319278781101,00:05:19
knowledgegraph,nell-dbpedia,AML,CLASSES,0.0,0.0,0.0,0.0,0,0,129,0,-,-
knowledgegraph,nell-dbpedia,AML,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,AML,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,logmap-melt,ALL,0.9903846153846154,0.7984496124031008,0.5098039215686274,0.8841201716738197,103,1,26,105,199734557376,00:03:19
knowledgegraph,nell-dbpedia,logmap-melt,CLASSES,0.9903846153846154,0.7984496124031008,0.5098039215686274,0.8841201716738197,103,1,26,105,-,-
knowledgegraph,nell-dbpedia,logmap-melt,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,logmap-melt,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,KGMatcher,ALL,0.9672131147540983,0.9147286821705426,0.7843137254901961,0.9402390438247012,118,4,11,69633,6935787582619,01:55:35
knowledgegraph,nell-dbpedia,KGMatcher,CLASSES,0.9672131147540983,0.9147286821705426,0.7843137254901961,0.9402390438247012,118,4,11,122,-,-
knowledgegraph,nell-dbpedia,KGMatcher,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,KGMatcher,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,69511,-,-
knowledgegraph,nell-dbpedia,lsmatch,ALL,0.9901960784313726,0.7829457364341085,0.45098039215686275,0.8744588744588744,101,1,28,102,1005508146273,00:16:45
knowledgegraph,nell-dbpedia,lsmatch,CLASSES,0.9901960784313726,0.7829457364341085,0.45098039215686275,0.8744588744588744,101,1,28,102,-,-
knowledgegraph,nell-dbpedia,lsmatch,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,lsmatch,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,wiktionarymatcher,ALL,1.0,0.7984496124031008,0.49019607843137253,0.8879310344827586,103,0,26,77903,272506835215,00:04:32
knowledgegraph,nell-dbpedia,wiktionarymatcher,CLASSES,1.0,0.7984496124031008,0.49019607843137253,0.8879310344827586,103,0,26,103,-,-
knowledgegraph,nell-dbpedia,wiktionarymatcher,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,wiktionarymatcher,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,77800,-,-
knowledgegraph,nell-dbpedia,ONTmap,ALL,0.9008264462809917,0.8449612403100775,0.6078431372549019,0.8719999999999999,109,12,20,123,496177108477,00:08:16
knowledgegraph,nell-dbpedia,ONTmap,CLASSES,0.9008264462809917,0.8449612403100775,0.6078431372549019,0.8719999999999999,109,12,20,123,-,-
knowledgegraph,nell-dbpedia,ONTmap,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,ONTmap,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,AMD,ALL,0.0,0.0,0.0,0.0,0,0,129,101,1107218433429,00:18:27
knowledgegraph,nell-dbpedia,AMD,CLASSES,0.0,0.0,0.0,0.0,0,0,129,0,-,-
knowledgegraph,nell-dbpedia,AMD,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,AMD,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,atmatcher,ALL,1.0,0.7984496124031008,0.49019607843137253,0.8879310344827586,103,0,26,91896,196902189197,00:03:16
knowledgegraph,nell-dbpedia,atmatcher,CLASSES,1.0,0.7984496124031008,0.49019607843137253,0.8879310344827586,103,0,26,104,-,-
knowledgegraph,nell-dbpedia,atmatcher,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,atmatcher,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,91792,-,-
